TRADEDATE,CLOSE,VALUE,VOLUME
2014-04-21,77.62,6524700324.0,83590290.0
2014-04-22,76.3,10366817228.3,135293150.0
2014-04-23,75.56,10096596348.4,133283600.0
2014-04-24,73.21,18512448292.7,251265730.0
2014-04-25,69.91,21073635940.9,297122510.0
2014-04-28,73.39,26919766522.5,382641850.0
2014-04-29,72.8,13562850951.4,184166290.0
2014-04-30,72.5,7884706883.0,109106810.0
2014-05-02,72.22,4614899568.3,64294280.0
2014-05-05,71.99,4819865433.2,67164800.0
2014-05-06,74.1,9525359949.2,129555640.0
2014-05-07,78.5,20847433784.2,271218480.0
2014-05-08,78.8,19652189431.2,248696590.0
2014-05-12,79.08,12971345421.0,164644990.0
2014-05-13,80.15,14982774153.6,186766010.0
2014-05-14,81.38,10950369363.2,136298440.0
2014-05-15,80.04,13958326176.9,171237780.0
2014-05-16,79.2,11712181282.7,148101150.0
2014-05-19,81.62,11387666217.8,141103030.0
2014-05-20,82.31,12704722224.7,155680150.0
2014-05-21,83.59,15827223384.5,191332530.0
2014-05-22,83.26,10987132137.3,132031140.0
2014-05-23,85.83,14373948595.5,170529760.0
2014-05-26,86.87,9861521266.2,113548190.0
2014-05-27,84.33,12750027950.6,149979600.0
2014-05-28,84.95,9936248035.4,117406900.0
2014-05-29,85.65,11385853542.6,133574640.0
2014-05-30,84.5,9193858538.7,108275150.0
2014-06-02,85.91,11679296280.8,135553000.0
2014-06-03,86.84,10259671670.7,119911060.0
2014-06-04,87.81,10361328204.3,118827760.0
2014-06-05,87.43,12025304480.7,136671320.0
2014-06-06,89.0,11211383095.1,127899230.0
2014-06-09,88.89,7560962732.0,84842190.0
2014-06-10,88.99,7596389042.6,85853250.0
2014-06-11,89.0,6041154867.6,67980020.0
2014-06-16,84.85,11088013550.9,130296750.0
2014-06-17,83.8,7330000018.9,86913970.0
2014-06-18,83.77,9671046875.6,115310330.0
2014-06-19,84.8,9528743715.0,112078350.0
2014-06-20,84.16,7073051535.6,83715090.0
2014-06-23,83.68,8347843813.1,99040960.0
2014-06-24,86.5,12819683767.4,150531880.0
2014-06-25,84.4,9811010217.8,114961050.0
2014-06-26,84.1,8383743521.2,99471360.0
2014-06-27,84.33,4828661473.2,57140600.0
2014-06-30,84.5,6822354609.1,81496490.0
2014-07-01,84.07,6700970195.0,80028320.0
2014-07-02,85.79,8016712732.6,94197580.0
2014-07-03,85.34,6559336708.5,76353880.0
2014-07-04,84.0,5890073881.0,69404770.0
2014-07-07,85.49,6025535758.0,71042760.0
2014-07-08,85.11,8532268044.6,99525260.0
2014-07-09,85.2,6861142523.7,80831840.0
2014-07-10,84.47,9686873454.4,114382280.0
2014-07-11,84.55,6602300169.9,78260360.0
2014-07-14,83.55,5856987360.7,69434020.0
2014-07-15,83.09,6601547994.8,79123700.0
2014-07-16,83.78,7160064071.3,86004300.0
2014-07-17,81.5,12027761202.8,147892860.0
2014-07-18,80.27,11816975027.0,147407130.0
2014-07-21,76.56,14297774488.2,182779550.0
2014-07-22,78.3,12028123266.1,154403850.0
2014-07-23,77.45,7277557742.1,93643340.0
2014-07-24,76.87,7809701201.2,101869250.0
2014-07-25,75.16,8283568523.8,109515350.0
2014-07-28,72.82,8557052061.2,116467930.0
2014-07-29,73.2,14153119044.7,193639220.0
2014-07-30,73.68,14523547897.5,194588780.0
2014-07-31,73.6,8188974758.4,110573680.0
2014-08-01,72.37,13276911148.5,183538940.0
2014-08-04,72.75,7492810618.6,102965070.0
2014-08-05,71.6,7475834047.6,103702890.0
2014-08-06,69.0,17648189319.1,252771000.0
2014-08-07,68.5,17451511001.3,257510130.0
2014-08-08,70.7,11312689552.6,162405320.0
2014-08-11,74.21,12396749732.9,168710010.0
2014-08-12,73.35,12470921233.2,168530250.0
2014-08-13,74.84,10204042131.6,137022330.0
2014-08-14,74.99,11001471078.0,146635000.0
2014-08-15,75.05,9520904415.8,127078390.0
2014-08-18,75.15,6573355528.3,87278050.0
2014-08-19,76.0,7381460232.9,97471200.0
2014-08-20,76.9,9121903753.5,120071260.0
2014-08-21,78.4,9023655140.5,115995050.0
2014-08-22,78.39,10934358452.3,140619770.0
2014-08-25,78.56,9372795671.0,118676060.0
2014-08-26,77.44,6172031870.7,79132960.0
2014-08-27,77.93,6358565106.8,81493260.0
2014-08-28,74.59,17577035274.0,231820440.0
2014-08-29,73.21,14242612092.1,193460210.0
2014-09-01,73.68,12118090739.3,164429290.0
2014-09-02,73.76,7701340899.6,104627840.0
2014-09-03,78.5,21333848810.2,277102210.0
2014-09-04,79.39,12434841180.8,158504110.0
2014-09-05,80.25,12760679862.3,159432130.0
2014-09-08,78.69,8586491913.2,108470700.0
2014-09-09,79.41,8416207166.7,105818380.0
2014-09-10,78.67,6806564900.8,86323660.0
2014-09-11,76.3,11862400181.6,153119340.0
2014-09-12,76.65,11142306440.4,145526680.0
2014-09-15,75.63,9667420501.4,127147020.0
2014-09-16,77.6,10911100950.9,141626080.0
2014-09-17,78.66,11680433036.9,150425900.0
2014-09-18,77.98,8031614350.0,102250150.0
2014-09-19,77.4,9528065775.8,122982290.0
2014-09-22,76.0,6471712224.7,84589910.0
2014-09-23,77.68,7511750614.8,97635080.0
2014-09-24,79.05,9743665248.4,123499180.0
2014-09-25,78.01,9593588851.2,121092190.0
2014-09-26,77.6,8662360631.6,111612420.0
2014-09-29,76.7,7794311609.8,100645000.0
2014-09-30,75.52,11065325634.6,144552360.0
2014-10-01,74.26,9813229524.8,130262550.0
2014-10-02,73.15,10657701141.0,145206610.0
2014-10-03,73.77,8251476086.9,111663690.0
